,Date,Start (ET),Visitor/Neutral,Visitor Points,Home/Neutral,Home Points, , ,Attend.,Notes
0,"Tue, Oct 25, 2016",7:30p,New York Knicks,88,Cleveland Cavaliers,117,Box Score,,"20,562",
1,"Tue, Oct 25, 2016",10:00p,Utah Jazz,104,Portland Trail Blazers,113,Box Score,,"19,446",
2,"Tue, Oct 25, 2016",10:30p,San Antonio Spurs,129,Golden State Warriors,100,Box Score,,"19,596",
3,"Wed, Oct 26, 2016",7:00p,Dallas Mavericks,121,Indiana Pacers,130,Box Score,OT,"17,923",
4,"Wed, Oct 26, 2016",7:00p,Miami Heat,108,Orlando Magic,96,Box Score,,"19,298",
5,"Wed, Oct 26, 2016",7:30p,Detroit Pistons,91,Toronto Raptors,109,Box Score,,"19,800",
6,"Wed, Oct 26, 2016",7:30p,Brooklyn Nets,117,Boston Celtics,122,Box Score,,"18,624",
7,"Wed, Oct 26, 2016",8:00p,Charlotte Hornets,107,Milwaukee Bucks,96,Box Score,,"18,717",
8,"Wed, Oct 26, 2016",8:00p,Denver Nuggets,107,New Orleans Pelicans,102,Box Score,,"15,869",
9,"Wed, Oct 26, 2016",8:00p,Minnesota Timberwolves,98,Memphis Grizzlies,102,Box Score,,"18,119",
10,"Wed, Oct 26, 2016",8:00p,Oklahoma City Thunder,103,Philadelphia 76ers,97,Box Score,,"20,487",
11,"Wed, Oct 26, 2016",10:00p,Sacramento Kings,113,Phoenix Suns,94,Box Score,,"18,055",
12,"Wed, Oct 26, 2016",10:30p,Houston Rockets,114,Los Angeles Lakers,120,Box Score,,"18,997",
13,"Thu, Oct 27, 2016",7:30p,Washington Wizards,99,Atlanta Hawks,114,Box Score,,"19,049",
14,"Thu, Oct 27, 2016",8:00p,Boston Celtics,99,Chicago Bulls,105,Box Score,,"21,501",
15,"Thu, Oct 27, 2016",10:30p,Los Angeles Clippers,114,Portland Trail Blazers,106,Box Score,,"19,500",
16,"Thu, Oct 27, 2016",10:30p,San Antonio Spurs,102,Sacramento Kings,94,Box Score,,"17,608",
17,"Fri, Oct 28, 2016",7:00p,Cleveland Cavaliers,94,Toronto Raptors,91,Box Score,,"19,800",
18,"Fri, Oct 28, 2016",7:30p,Indiana Pacers,94,Brooklyn Nets,103,Box Score,,"17,732",
19,"Fri, Oct 28, 2016",7:30p,Orlando Magic,82,Detroit Pistons,108,Box Score,,"19,122",
20,"Fri, Oct 28, 2016",8:00p,Phoenix Suns,110,Oklahoma City Thunder,113,Box Score,OT,"18,203",
21,"Fri, Oct 28, 2016",8:00p,Charlotte Hornets,97,Miami Heat,91,Box Score,,"19,600",
22,"Fri, Oct 28, 2016",8:30p,Houston Rockets,106,Dallas Mavericks,98,Box Score,,"20,163",
23,"Fri, Oct 28, 2016",9:00p,Los Angeles Lakers,89,Utah Jazz,96,Box Score,,"19,911",
24,"Fri, Oct 28, 2016",9:30p,Golden State Warriors,122,New Orleans Pelicans,114,Box Score,,"18,217",
25,"Sat, Oct 29, 2016",12:30p,Atlanta Hawks,104,Philadelphia 76ers,72,Box Score,,"16,312",
26,"Sat, Oct 29, 2016",7:00p,Boston Celtics,104,Charlotte Hornets,98,Box Score,,"18,708",
27,"Sat, Oct 29, 2016",7:30p,Orlando Magic,99,Cleveland Cavaliers,105,Box Score,,"20,562",
28,"Sat, Oct 29, 2016",7:30p,Memphis Grizzlies,104,New York Knicks,111,Box Score,,"19,812",
29,"Sat, Oct 29, 2016",8:00p,New Orleans Pelicans,79,San Antonio Spurs,98,Box Score,,"18,418",
30,"Sat, Oct 29, 2016",8:00p,Brooklyn Nets,108,Milwaukee Bucks,110,Box Score,,"12,570",
31,"Sat, Oct 29, 2016",8:00p,Indiana Pacers,101,Chicago Bulls,118,Box Score,,"21,373",
32,"Sat, Oct 29, 2016",9:00p,Portland Trail Blazers,115,Denver Nuggets,113,Box Score,OT,"18,055",
33,"Sat, Oct 29, 2016",10:30p,Minnesota Timberwolves,103,Sacramento Kings,106,Box Score,,"17,608",
34,"Sun, Oct 30, 2016",4:30p,Utah Jazz,75,Los Angeles Clippers,88,Box Score,,"19,060",
35,"Sun, Oct 30, 2016",6:00p,Milwaukee Bucks,83,Detroit Pistons,98,Box Score,,"15,161",
36,"Sun, Oct 30, 2016",6:00p,San Antonio Spurs,106,Miami Heat,99,Box Score,,"19,678",
37,"Sun, Oct 30, 2016",6:00p,Golden State Warriors,106,Phoenix Suns,100,Box Score,,"17,011",
38,"Sun, Oct 30, 2016",7:00p,Los Angeles Lakers,96,Oklahoma City Thunder,113,Box Score,,"18,203",
39,"Sun, Oct 30, 2016",8:00p,Dallas Mavericks,92,Houston Rockets,93,Box Score,,"18,055",
40,"Sun, Oct 30, 2016",8:00p,Washington Wizards,103,Memphis Grizzlies,112,Box Score,OT,"15,573",
41,"Mon, Oct 31, 2016",7:30p,Sacramento Kings,95,Atlanta Hawks,106,Box Score,,"12,501",
42,"Mon, Oct 31, 2016",7:30p,Chicago Bulls,118,Brooklyn Nets,88,Box Score,,"15,842",
43,"Mon, Oct 31, 2016",7:30p,Denver Nuggets,102,Toronto Raptors,105,Box Score,,"19,800",
44,"Mon, Oct 31, 2016",10:30p,Phoenix Suns,98,Los Angeles Clippers,116,Box Score,,"19,060",
45,"Tue, Nov 1, 2016",6:00p,Houston Rockets,120,Cleveland Cavaliers,128,Box Score,,"20,562",
46,"Tue, Nov 1, 2016",7:00p,Los Angeles Lakers,108,Indiana Pacers,115,Box Score,,"15,348",
47,"Tue, Nov 1, 2016",7:00p,Orlando Magic,103,Philadelphia 76ers,101,Box Score,,"12,529",
48,"Tue, Nov 1, 2016",7:30p,New York Knicks,89,Detroit Pistons,102,Box Score,,"13,087",
49,"Tue, Nov 1, 2016",7:30p,Sacramento Kings,96,Miami Heat,108,Box Score,OT,"19,612",
50,"Tue, Nov 1, 2016",8:00p,Memphis Grizzlies,80,Minnesota Timberwolves,116,Box Score,,"14,774",
51,"Tue, Nov 1, 2016",8:00p,Milwaukee Bucks,117,New Orleans Pelicans,113,Box Score,,"15,515",
52,"Tue, Nov 1, 2016",8:30p,Utah Jazz,106,San Antonio Spurs,91,Box Score,,"18,418",
53,"Tue, Nov 1, 2016",10:00p,Golden State Warriors,127,Portland Trail Blazers,104,Box Score,,"19,393",
54,"Wed, Nov 2, 2016",7:00p,Philadelphia 76ers,93,Charlotte Hornets,109,Box Score,,"15,275",
55,"Wed, Nov 2, 2016",7:00p,Toronto Raptors,113,Washington Wizards,103,Box Score,,"19,581",
56,"Wed, Nov 2, 2016",7:30p,Los Angeles Lakers,123,Atlanta Hawks,116,Box Score,,"13,800",
57,"Wed, Nov 2, 2016",7:30p,Detroit Pistons,101,Brooklyn Nets,109,Box Score,,"13,650",
58,"Wed, Nov 2, 2016",7:30p,Houston Rockets,118,New York Knicks,99,Box Score,,"19,812",
59,"Wed, Nov 2, 2016",8:00p,Chicago Bulls,100,Boston Celtics,107,Box Score,,"18,624",
60,"Wed, Nov 2, 2016",8:00p,New Orleans Pelicans,83,Memphis Grizzlies,89,Box Score,OT,"15,881",
61,"Wed, Nov 2, 2016",9:00p,Dallas Mavericks,81,Utah Jazz,97,Box Score,,"19,318",
62,"Wed, Nov 2, 2016",10:00p,Portland Trail Blazers,115,Phoenix Suns,118,Box Score,OT,"17,284",
63,"Wed, Nov 2, 2016",10:30p,Oklahoma City Thunder,85,Los Angeles Clippers,83,Box Score,,"19,060",
64,"Thu, Nov 3, 2016",7:00p,Sacramento Kings,94,Orlando Magic,102,Box Score,,"17,026",
65,"Thu, Nov 3, 2016",8:00p,Boston Celtics,122,Cleveland Cavaliers,128,Box Score,,"20,562",
66,"Thu, Nov 3, 2016",8:00p,Indiana Pacers,107,Milwaukee Bucks,125,Box Score,,"11,374",
67,"Thu, Nov 3, 2016",8:00p,Denver Nuggets,102,Minnesota Timberwolves,99,Box Score,,"11,219",
68,"Thu, Nov 3, 2016",10:30p,Oklahoma City Thunder,96,Golden State Warriors,122,Box Score,,"19,596",
69,"Fri, Nov 4, 2016",7:00p,Atlanta Hawks,92,Washington Wizards,95,Box Score,,"14,663",
70,"Fri, Nov 4, 2016",7:30p,Charlotte Hornets,99,Brooklyn Nets,95,Box Score,,"15,775",
71,"Fri, Nov 4, 2016",7:30p,Miami Heat,87,Toronto Raptors,96,Box Score,,"19,800",
72,"Fri, Nov 4, 2016",8:00p,New York Knicks,117,Chicago Bulls,104,Box Score,,"22,376",
73,"Fri, Nov 4, 2016",8:00p,Los Angeles Clippers,99,Memphis Grizzlies,88,Box Score,,"17,115",
74,"Fri, Nov 4, 2016",8:00p,Phoenix Suns,112,New Orleans Pelicans,111,Box Score,OT,"15,379",
75,"Fri, Nov 4, 2016",8:30p,Portland Trail Blazers,105,Dallas Mavericks,95,Box Score,,"19,475",
76,"Fri, Nov 4, 2016",9:00p,San Antonio Spurs,100,Utah Jazz,86,Box Score,,"19,911",
77,"Fri, Nov 4, 2016",10:30p,Golden State Warriors,97,Los Angeles Lakers,117,Box Score,,"18,997",
78,"Sat, Nov 5, 2016",6:00p,Minnesota Timberwolves,92,Oklahoma City Thunder,112,Box Score,,"18,203",
79,"Sat, Nov 5, 2016",7:00p,Denver Nuggets,86,Detroit Pistons,103,Box Score,,"16,218",
80,"Sat, Nov 5, 2016",7:00p,Chicago Bulls,94,Indiana Pacers,111,Box Score,,"17,020",
81,"Sat, Nov 5, 2016",7:00p,Washington Wizards,86,Orlando Magic,88,Box Score,,"18,846",
82,"Sat, Nov 5, 2016",7:00p,Cleveland Cavaliers,102,Philadelphia 76ers,101,Box Score,,"20,497",
83,"Sat, Nov 5, 2016",7:30p,Houston Rockets,97,Atlanta Hawks,112,Box Score,,"16,895",
84,"Sat, Nov 5, 2016",8:00p,Sacramento Kings,91,Milwaukee Bucks,117,Box Score,,"16,021",
85,"Sat, Nov 5, 2016",8:30p,Los Angeles Clippers,116,San Antonio Spurs,92,Box Score,,"18,418",
86,"Sun, Nov 6, 2016",12:00p,Utah Jazz,114,New York Knicks,109,Box Score,,"19,812",
87,"Sun, Nov 6, 2016",3:30p,Portland Trail Blazers,100,Memphis Grizzlies,94,Box Score,,"16,233",
88,"Sun, Nov 6, 2016",6:00p,Sacramento Kings,96,Toronto Raptors,91,Box Score,,"19,800",
89,"Sun, Nov 6, 2016",7:00p,Milwaukee Bucks,75,Dallas Mavericks,86,Box Score,OT,"19,345",
90,"Sun, Nov 6, 2016",7:30p,Denver Nuggets,123,Boston Celtics,107,Box Score,,"17,452",
91,"Sun, Nov 6, 2016",9:30p,Phoenix Suns,108,Los Angeles Lakers,119,Box Score,,"18,997",
92,"Mon, Nov 7, 2016",7:00p,Indiana Pacers,100,Charlotte Hornets,122,Box Score,,"16,880",
93,"Mon, Nov 7, 2016",7:00p,Utah Jazz,109,Philadelphia 76ers,84,Box Score,,"14,168",
94,"Mon, Nov 7, 2016",7:00p,Houston Rockets,114,Washington Wizards,106,Box Score,,"13,173",
95,"Mon, Nov 7, 2016",8:00p,Orlando Magic,80,Chicago Bulls,112,Box Score,,"21,320",
96,"Mon, Nov 7, 2016",8:00p,Miami Heat,85,Oklahoma City Thunder,97,Box Score,,"18,203",
97,"Mon, Nov 7, 2016",10:30p,New Orleans Pelicans,106,Golden State Warriors,116,Box Score,,"19,596",
98,"Mon, Nov 7, 2016",10:30p,Detroit Pistons,82,Los Angeles Clippers,114,Box Score,,"19,060",
99,"Tue, Nov 8, 2016",7:00p,Atlanta Hawks,110,Cleveland Cavaliers,106,Box Score,,"20,562",
100,"Tue, Nov 8, 2016",7:30p,Minnesota Timberwolves,110,Brooklyn Nets,119,Box Score,,"13,610",
101,"Tue, Nov 8, 2016",8:00p,Denver Nuggets,107,Memphis Grizzlies,108,Box Score,,"15,109",
102,"Tue, Nov 8, 2016",10:00p,Phoenix Suns,121,Portland Trail Blazers,124,Box Score,,"19,239",
103,"Tue, Nov 8, 2016",10:30p,Dallas Mavericks,109,Los Angeles Lakers,97,Box Score,,"18,997",
104,"Tue, Nov 8, 2016",10:30p,New Orleans Pelicans,94,Sacramento Kings,102,Box Score,,"17,608",
105,"Wed, Nov 9, 2016",7:00p,Utah Jazz,98,Charlotte Hornets,104,Box Score,,"15,712",
106,"Wed, Nov 9, 2016",7:00p,Philadelphia 76ers,115,Indiana Pacers,122,Box Score,OT,"15,360",
107,"Wed, Nov 9, 2016",7:00p,Brooklyn Nets,96,New York Knicks,110,Box Score,,"19,812",
108,"Wed, Nov 9, 2016",7:00p,Minnesota Timberwolves,123,Orlando Magic,107,Box Score,,"17,102",
109,"Wed, Nov 9, 2016",7:00p,Boston Celtics,93,Washington Wizards,118,Box Score,,"12,675",
110,"Wed, Nov 9, 2016",7:30p,Chicago Bulls,107,Atlanta Hawks,115,Box Score,,"16,354",
111,"Wed, Nov 9, 2016",8:00p,Toronto Raptors,112,Oklahoma City Thunder,102,Box Score,,"18,203",
112,"Wed, Nov 9, 2016",9:00p,Detroit Pistons,100,Phoenix Suns,107,Box Score,,"16,719",
113,"Wed, Nov 9, 2016",9:30p,Houston Rockets,101,San Antonio Spurs,99,Box Score,,"18,418",
114,"Wed, Nov 9, 2016",10:30p,Dallas Mavericks,95,Golden State Warriors,116,Box Score,,"19,596",
