,Date,Start (ET),Visitor/Neutral,Visitor Points,Home/Neutral,Home Points, , ,Attend.,Notes
0,"Tue, Oct 27, 2015",8:00p,Cleveland Cavaliers,95,Chicago Bulls,97,Box Score,,"21,957",
1,"Tue, Oct 27, 2015",8:00p,Detroit Pistons,106,Atlanta Hawks,94,Box Score,,"19,187",
2,"Tue, Oct 27, 2015",10:30p,New Orleans Pelicans,95,Golden State Warriors,111,Box Score,,"19,596",
3,"Wed, Oct 28, 2015",7:00p,Washington Wizards,88,Orlando Magic,87,Box Score,,"18,846",
4,"Wed, Oct 28, 2015",7:30p,Philadelphia 76ers,95,Boston Celtics,112,Box Score,,"18,624",
5,"Wed, Oct 28, 2015",7:30p,Chicago Bulls,115,Brooklyn Nets,100,Box Score,,"17,732",
6,"Wed, Oct 28, 2015",7:30p,Utah Jazz,87,Detroit Pistons,92,Box Score,,"18,434",
7,"Wed, Oct 28, 2015",7:30p,Indiana Pacers,99,Toronto Raptors,106,Box Score,,"19,800",
8,"Wed, Oct 28, 2015",7:30p,Charlotte Hornets,94,Miami Heat,104,Box Score,,"19,724",
9,"Wed, Oct 28, 2015",8:00p,New York Knicks,122,Milwaukee Bucks,97,Box Score,,"18,717",
10,"Wed, Oct 28, 2015",8:00p,San Antonio Spurs,106,Oklahoma City Thunder,112,Box Score,,"18,203",
11,"Wed, Oct 28, 2015",8:00p,Cleveland Cavaliers,106,Memphis Grizzlies,76,Box Score,,"18,119",
12,"Wed, Oct 28, 2015",8:00p,Denver Nuggets,105,Houston Rockets,85,Box Score,,"18,240",
13,"Wed, Oct 28, 2015",10:00p,Dallas Mavericks,111,Phoenix Suns,95,Box Score,,"18,055",
14,"Wed, Oct 28, 2015",10:00p,New Orleans Pelicans,94,Portland Trail Blazers,112,Box Score,,"19,393",
15,"Wed, Oct 28, 2015",10:00p,Los Angeles Clippers,111,Sacramento Kings,104,Box Score,,"17,458",
16,"Wed, Oct 28, 2015",10:30p,Minnesota Timberwolves,112,Los Angeles Lakers,111,Box Score,,"18,997",
17,"Thu, Oct 29, 2015",7:00p,Memphis Grizzlies,112,Indiana Pacers,103,Box Score,,"18,165",
18,"Thu, Oct 29, 2015",8:00p,Atlanta Hawks,112,New York Knicks,101,Box Score,,"19,812",
19,"Thu, Oct 29, 2015",10:30p,Dallas Mavericks,88,Los Angeles Clippers,104,Box Score,,"19,218",
20,"Fri, Oct 30, 2015",7:00p,Miami Heat,92,Cleveland Cavaliers,102,Box Score,,"20,562",
21,"Fri, Oct 30, 2015",7:00p,Utah Jazz,99,Philadelphia 76ers,71,Box Score,,"17,122",
22,"Fri, Oct 30, 2015",7:00p,Oklahoma City Thunder,139,Orlando Magic,136,Box Score,2OT,"18,846",
23,"Fri, Oct 30, 2015",7:30p,Toronto Raptors,113,Boston Celtics,103,Box Score,,"16,898",
24,"Fri, Oct 30, 2015",7:30p,Chicago Bulls,94,Detroit Pistons,98,Box Score,OT,"16,035",
25,"Fri, Oct 30, 2015",8:00p,Charlotte Hornets,94,Atlanta Hawks,97,Box Score,,"17,024",
26,"Fri, Oct 30, 2015",8:00p,Washington Wizards,118,Milwaukee Bucks,113,Box Score,,"13,858",
27,"Fri, Oct 30, 2015",8:30p,Brooklyn Nets,75,San Antonio Spurs,102,Box Score,,"18,418",
28,"Fri, Oct 30, 2015",9:00p,Minnesota Timberwolves,95,Denver Nuggets,78,Box Score,,"17,660",
29,"Fri, Oct 30, 2015",9:30p,Golden State Warriors,112,Houston Rockets,92,Box Score,,"18,142",
30,"Fri, Oct 30, 2015",10:00p,Los Angeles Lakers,114,Sacramento Kings,132,Box Score,,"17,391",
31,"Fri, Oct 30, 2015",10:30p,Portland Trail Blazers,92,Phoenix Suns,110,Box Score,,"18,055",
32,"Sat, Oct 31, 2015",7:00p,Utah Jazz,97,Indiana Pacers,76,Box Score,,"14,412",
33,"Sat, Oct 31, 2015",7:00p,New York Knicks,117,Washington Wizards,110,Box Score,,"20,356",
34,"Sat, Oct 31, 2015",7:30p,Golden State Warriors,134,New Orleans Pelicans,120,Box Score,,"18,406",
35,"Sat, Oct 31, 2015",8:00p,Brooklyn Nets,91,Memphis Grizzlies,101,Box Score,,"16,013",
36,"Sat, Oct 31, 2015",10:00p,Phoenix Suns,101,Portland Trail Blazers,90,Box Score,,"17,906",
37,"Sat, Oct 31, 2015",10:30p,Sacramento Kings,109,Los Angeles Clippers,114,Box Score,,"19,060",
38,"Sun, Nov 1, 2015",2:00p,Atlanta Hawks,94,Charlotte Hornets,92,Box Score,,"18,691",
39,"Sun, Nov 1, 2015",3:30p,San Antonio Spurs,95,Boston Celtics,87,Box Score,,"17,461",
40,"Sun, Nov 1, 2015",6:00p,Houston Rockets,89,Miami Heat,109,Box Score,,"19,600",
41,"Sun, Nov 1, 2015",6:00p,Milwaukee Bucks,87,Toronto Raptors,106,Box Score,,"19,800",
42,"Sun, Nov 1, 2015",7:00p,Orlando Magic,87,Chicago Bulls,92,Box Score,,"21,585",
43,"Sun, Nov 1, 2015",7:00p,Denver Nuggets,93,Oklahoma City Thunder,117,Box Score,,"18,203",
44,"Sun, Nov 1, 2015",9:30p,Dallas Mavericks,103,Los Angeles Lakers,93,Box Score,,"18,997",
45,"Mon, Nov 2, 2015",7:00p,Cleveland Cavaliers,107,Philadelphia 76ers,100,Box Score,,"18,094",
46,"Mon, Nov 2, 2015",7:30p,Milwaukee Bucks,103,Brooklyn Nets,96,Box Score,,"12,576",
47,"Mon, Nov 2, 2015",7:30p,San Antonio Spurs,94,New York Knicks,84,Box Score,,"19,812",
48,"Mon, Nov 2, 2015",8:00p,Oklahoma City Thunder,105,Houston Rockets,110,Box Score,,"17,224",
49,"Mon, Nov 2, 2015",8:00p,Portland Trail Blazers,106,Minnesota Timberwolves,101,Box Score,,"18,903",
50,"Mon, Nov 2, 2015",10:30p,Memphis Grizzlies,69,Golden State Warriors,119,Box Score,,"19,596",
51,"Mon, Nov 2, 2015",10:30p,Phoenix Suns,96,Los Angeles Clippers,102,Box Score,,"19,060",
52,"Tue, Nov 3, 2015",7:00p,Chicago Bulls,105,Charlotte Hornets,130,Box Score,,"15,136",
53,"Tue, Nov 3, 2015",7:30p,Indiana Pacers,94,Detroit Pistons,82,Box Score,,"13,325",
54,"Tue, Nov 3, 2015",7:30p,Atlanta Hawks,98,Miami Heat,92,Box Score,,"19,600",
55,"Tue, Nov 3, 2015",8:00p,Orlando Magic,103,New Orleans Pelicans,94,Box Score,,"16,876",
56,"Tue, Nov 3, 2015",8:30p,Toronto Raptors,102,Dallas Mavericks,91,Box Score,,"20,034",
57,"Tue, Nov 3, 2015",10:00p,Memphis Grizzlies,103,Sacramento Kings,89,Box Score,,"17,317",
58,"Tue, Nov 3, 2015",10:30p,Denver Nuggets,120,Los Angeles Lakers,109,Box Score,,"18,997",
59,"Wed, Nov 4, 2015",7:00p,Boston Celtics,98,Indiana Pacers,100,Box Score,,"14,022",
60,"Wed, Nov 4, 2015",7:00p,San Antonio Spurs,99,Washington Wizards,102,Box Score,,"17,721",
61,"Wed, Nov 4, 2015",8:00p,Brooklyn Nets,87,Atlanta Hawks,101,Box Score,,"14,044",
62,"Wed, Nov 4, 2015",8:00p,New York Knicks,86,Cleveland Cavaliers,96,Box Score,,"20,562",
63,"Wed, Nov 4, 2015",8:00p,Orlando Magic,114,Houston Rockets,119,Box Score,OT,"16,735",
64,"Wed, Nov 4, 2015",8:00p,Philadelphia 76ers,87,Milwaukee Bucks,91,Box Score,,"12,437",
65,"Wed, Nov 4, 2015",8:00p,Toronto Raptors,103,Oklahoma City Thunder,98,Box Score,,"18,203",
66,"Wed, Nov 4, 2015",9:00p,Sacramento Kings,97,Phoenix Suns,118,Box Score,,"16,497",
67,"Wed, Nov 4, 2015",9:00p,Portland Trail Blazers,108,Utah Jazz,92,Box Score,,"19,911",
68,"Wed, Nov 4, 2015",10:30p,Los Angeles Clippers,108,Golden State Warriors,112,Box Score,,"19,596",
69,"Thu, Nov 5, 2015",8:00p,Oklahoma City Thunder,98,Chicago Bulls,104,Box Score,,"21,861",
70,"Thu, Nov 5, 2015",8:00p,Miami Heat,96,Minnesota Timberwolves,84,Box Score,,"11,794",
71,"Thu, Nov 5, 2015",8:30p,Charlotte Hornets,108,Dallas Mavericks,94,Box Score,,"19,635",
72,"Thu, Nov 5, 2015",9:00p,Utah Jazz,96,Denver Nuggets,84,Box Score,,"9,906",
73,"Thu, Nov 5, 2015",10:30p,Memphis Grizzlies,96,Portland Trail Blazers,115,Box Score,,"19,393",
74,"Fri, Nov 6, 2015",7:00p,Toronto Raptors,87,Orlando Magic,92,Box Score,,"16,578",
75,"Fri, Nov 6, 2015",7:30p,Washington Wizards,98,Boston Celtics,118,Box Score,,"18,624",
76,"Fri, Nov 6, 2015",7:30p,Los Angeles Lakers,104,Brooklyn Nets,98,Box Score,,"17,732",
77,"Fri, Nov 6, 2015",7:30p,Philadelphia 76ers,102,Cleveland Cavaliers,108,Box Score,,"20,562",
78,"Fri, Nov 6, 2015",7:30p,Milwaukee Bucks,99,New York Knicks,92,Box Score,,"19,812",
79,"Fri, Nov 6, 2015",8:00p,Miami Heat,87,Indiana Pacers,90,Box Score,,"16,914",
80,"Fri, Nov 6, 2015",8:00p,Atlanta Hawks,121,New Orleans Pelicans,115,Box Score,,"16,983",
81,"Fri, Nov 6, 2015",9:30p,Detroit Pistons,100,Phoenix Suns,92,Box Score,,"16,676",
82,"Fri, Nov 6, 2015",10:30p,Denver Nuggets,104,Golden State Warriors,119,Box Score,,"19,596",
83,"Fri, Nov 6, 2015",10:30p,Houston Rockets,116,Sacramento Kings,110,Box Score,,"16,983",
84,"Sat, Nov 7, 2015",6:00p,Minnesota Timberwolves,102,Chicago Bulls,93,Box Score,OT,"21,988",
85,"Sat, Nov 7, 2015",7:00p,Orlando Magic,105,Philadelphia 76ers,97,Box Score,,"15,207",
86,"Sat, Nov 7, 2015",7:30p,Washington Wizards,99,Atlanta Hawks,114,Box Score,,"18,047",
87,"Sat, Nov 7, 2015",8:30p,New Orleans Pelicans,98,Dallas Mavericks,107,Box Score,,"20,454",
88,"Sat, Nov 7, 2015",8:30p,Brooklyn Nets,86,Milwaukee Bucks,94,Box Score,,"15,228",
89,"Sat, Nov 7, 2015",8:30p,Charlotte Hornets,94,San Antonio Spurs,114,Box Score,,"18,418",
90,"Sat, Nov 7, 2015",9:00p,Memphis Grizzlies,79,Utah Jazz,89,Box Score,,"19,456",
91,"Sat, Nov 7, 2015",10:00p,Golden State Warriors,103,Sacramento Kings,94,Box Score,,"17,317",
92,"Sat, Nov 7, 2015",10:30p,Houston Rockets,109,Los Angeles Clippers,105,Box Score,,"19,361",
93,"Sun, Nov 8, 2015",3:30p,Indiana Pacers,97,Cleveland Cavaliers,101,Box Score,,"20,562",
