PLAYER,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,TEAM,GAME_ID
Gorgui Dieng,14:47,4,5,.800,0,0,,0,0,,1,3,4,1,0,2,1,1,8,+27,MIN,310
Josh Okogie,10:22,4,7,.571,3,4,.750,1,2,.500,0,2,2,2,1,0,0,3,12,+2,MIN,310
Luol Deng,7:04,2,3,.667,0,1,.000,1,1,1.000,0,1,1,1,1,0,0,2,5,0,MIN,310
Anthony Tolliver,7:04,1,2,.500,1,2,.500,0,0,,0,1,1,1,0,0,0,0,3,0,MIN,310
James Nunnally,5:11,0,2,.000,0,2,.000,0,0,,0,0,0,1,0,0,0,0,0,-6,MIN,310
DeMar DeRozan,28:14,4,9,.444,0,1,.000,2,2,1.000,0,2,2,2,0,4,5,2,10,-22,SAS,310
LaMarcus Aldridge,24:32,5,11,.455,0,0,,0,0,,2,7,9,2,0,0,2,1,10,-18,SAS,310
Derrick White,23:00,3,6,.500,0,0,,0,0,,0,2,2,4,0,0,2,1,6,-22,SAS,310
Bryn Forbes,21:24,2,9,.222,2,6,.333,0,0,,0,1,1,1,0,0,2,2,6,-26,SAS,310
Rudy Gay,18:58,1,5,.200,1,4,.250,0,0,,0,5,5,4,1,2,1,3,3,-33,SAS,310
Dante Cunningham,22:18,1,3,.333,0,1,.000,0,0,,1,3,4,0,0,0,2,1,2,-14,SAS,310
Marco Belinelli,21:26,3,11,.273,3,7,.429,2,2,1.000,0,1,1,2,0,0,1,1,11,-14,SAS,310
Jakob Poeltl,20:43,7,11,.636,0,0,,0,0,,5,3,8,0,0,1,2,2,14,-16,SAS,310
Patty Mills,18:13,2,7,.286,1,4,.250,1,1,1.000,0,1,1,3,0,0,0,0,6,-9,SAS,310
Dāvis Bertāns,17:12,3,7,.429,0,3,.000,0,0,,3,2,5,1,0,1,0,1,6,-11,SAS,310
Quincy Pondexter,12:00,3,4,.750,1,1,1.000,6,6,1.000,0,4,4,2,0,0,1,2,13,-5,SAS,310
Chimezie Metu,12:00,0,4,.000,0,0,,2,2,1.000,1,3,4,2,0,0,0,1,2,-5,SAS,310
Tim Frazier,36:46,4,8,.500,2,6,.333,2,2,1.000,2,4,6,12,2,0,3,4,12,+24,NOP,311
Jrue Holiday,36:05,12,19,.632,3,7,.429,2,4,.500,1,6,7,5,1,1,3,1,29,+27,NOP,311
Anthony Davis,34:24,9,21,.429,2,6,.333,8,9,.889,4,11,15,3,1,2,3,1,28,+23,NOP,311
Nikola Mirotić,28:00,4,13,.308,3,8,.375,4,4,1.000,1,8,9,2,2,1,1,3,15,+8,NOP,311
E'Twaun Moore,26:49,4,9,.444,1,3,.333,1,2,.500,1,2,3,2,1,0,1,1,10,+12,NOP,311
Julius Randle,26:14,10,15,.667,0,1,.000,3,3,1.000,4,8,12,0,1,1,7,3,23,+18,NOP,311
Solomon Hill,17:09,1,1,1.000,0,0,,0,2,.000,3,1,4,0,0,0,0,1,2,+10,NOP,311
Darius Miller,14:06,0,4,.000,0,3,.000,0,0,,0,2,2,0,2,0,1,2,0,+6,NOP,311
Wesley Johnson,8:39,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,2,0,-10,NOP,311
Cheick Diallo,5:44,2,3,.667,0,1,.000,2,2,1.000,1,4,5,0,0,0,1,1,6,-6,NOP,311
Ian Clark,2:48,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-5,NOP,311
Kenrich Williams,1:38,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1,NOP,311
Jahlil Okafor,1:38,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-1,NOP,311
Kelly Oubre,34:59,9,18,.500,4,8,.500,0,1,.000,2,4,6,0,2,1,0,1,22,-14,WAS,311
Bradley Beal,34:48,7,15,.467,1,5,.200,1,1,1.000,1,4,5,11,2,1,4,3,16,-20,WAS,311
John Wall,25:50,6,13,.462,1,6,.167,4,6,.667,1,4,5,7,0,0,4,4,17,-19,WAS,311
Otto Porter,24:53,2,7,.286,1,2,.500,0,0,,2,3,5,1,1,0,0,2,5,-7,WAS,311
Thomas Bryant,14:24,0,0,,0,0,,0,0,,0,2,2,0,0,0,1,2,0,-9,WAS,311
Markieff Morris,32:04,9,17,.529,4,9,.444,0,1,.000,3,6,9,0,1,0,1,4,22,-7,WAS,311
Austin Rivers,24:17,1,7,.143,0,4,.000,0,0,,0,2,2,5,4,0,3,3,2,-9,WAS,311
Tomáš Satoranský,22:10,2,5,.400,0,0,,3,4,.750,1,1,2,1,1,0,3,3,7,-2,WAS,311
Jeff Green,19:27,4,11,.364,2,5,.400,0,0,,2,0,2,0,0,0,0,0,10,-10,WAS,311
Devin Robinson,3:34,1,1,1.000,0,0,,0,1,.000,0,0,0,1,1,0,0,0,2,-4,WAS,311
Troy Brown,3:34,0,1,.000,0,0,,1,2,.500,0,0,0,0,0,0,0,0,1,-4,WAS,311
Ian Mahinmi,Did Not Play,,,,,,,,,,,,,,,,,,,,WAS,311
Jason Smith,Did Not Play,,,,,,,,,,,,,,,,,,,,WAS,311
Russell Westbrook,37:15,10,17,.588,2,5,.400,1,2,.500,1,17,18,15,2,0,3,3,23,+12,OKC,312
Jerami Grant,33:49,8,12,.667,1,4,.250,4,5,.800,1,4,5,0,0,4,1,0,21,+3,OKC,312
Steven Adams,32:55,3,6,.500,0,0,,0,0,,1,5,6,1,1,2,1,1,6,+10,OKC,312
Álex Abrines,26:35,1,9,.111,1,8,.125,0,0,,1,2,3,1,0,0,0,1,3,+13,OKC,312
Paul George,24:48,8,13,.615,1,2,.500,1,1,1.000,2,2,4,4,0,2,5,5,18,+2,OKC,312
Dennis Schröder,23:15,2,9,.222,0,3,.000,2,2,1.000,0,2,2,1,1,0,1,4,6,-7,OKC,312
Deonte Burton,16:19,3,6,.500,1,2,.500,1,1,1.000,0,2,2,0,0,2,0,0,8,+22,OKC,312
Nerlens Noel,14:11,3,4,.750,0,0,,2,2,1.000,1,2,3,1,0,1,1,0,8,+7,OKC,312
Patrick Patterson,13:17,0,2,.000,0,1,.000,0,0,,0,3,3,0,0,0,0,2,0,+14,OKC,312
Abdel Nader,6:41,2,2,1.000,0,0,,0,0,,0,3,3,0,0,0,0,0,4,+4,OKC,312
Raymond Felton,5:50,1,2,.500,0,0,,0,0,,0,0,0,2,0,0,0,0,2,+9,OKC,312
Timothé Luwawu-Cabarrot,4:11,0,3,.000,0,2,.000,1,2,.500,0,0,0,0,1,0,1,2,1,-4,OKC,312
Tyler Davis,0:54,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0,OKC,312
Cedi Osman,39:34,6,14,.429,2,6,.333,0,0,,0,10,10,6,0,0,1,2,14,-13,CLE,312
Collin Sexton,37:57,9,20,.450,1,2,.500,2,2,1.000,1,9,10,3,1,0,2,2,21,-7,CLE,312
Larry Nance,35:35,3,5,.600,1,2,.500,0,0,,2,8,10,2,0,0,1,3,7,-21,CLE,312
Rodney Hood,35:16,5,12,.417,1,4,.250,1,2,.500,1,2,3,4,1,0,0,3,12,-2,CLE,312
Tristan Thompson,34:58,2,8,.250,0,0,,0,0,,0,2,2,2,1,0,3,4,4,-2,CLE,312
Jordan Clarkson,31:39,10,22,.455,4,8,.500,1,3,.333,1,2,3,2,1,0,0,2,25,-10,CLE,312
Ante Žižić,13:02,0,4,.000,0,0,,0,2,.000,2,3,5,1,0,1,2,1,0,-15,CLE,312
Andrew Harrison,11:59,0,4,.000,0,1,.000,0,0,,0,0,0,0,0,0,3,2,0,-15,CLE,312
George Hill,Did Not Play,,,,,,,,,,,,,,,,,,,,CLE,312
Sam Dekker,Did Not Play,,,,,,,,,,,,,,,,,,,,CLE,312
Channing Frye,Did Not Play,,,,,,,,,,,,,,,,,,,,CLE,312
David Nwaba,Did Not Play,,,,,,,,,,,,,,,,,,,,CLE,312
Damian Lillard,37:22,13,22,.591,10,15,.667,5,7,.714,0,8,8,4,2,1,3,2,41,+15,POR,313
CJ McCollum,34:47,6,17,.353,1,5,.200,2,4,.500,1,5,6,2,1,0,1,1,15,0,POR,313
Jusuf Nurkić,33:23,4,11,.364,1,1,1.000,7,8,.875,5,8,13,5,1,0,1,4,16,+8,POR,313
Al-Farouq Aminu,26:42,1,4,.250,0,2,.000,2,2,1.000,1,1,2,1,2,0,1,1,4,+4,POR,313
Maurice Harkless,12:36,1,4,.250,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2,+5,POR,313
Evan Turner,26:03,3,5,.600,0,0,,0,4,.000,2,5,7,7,1,0,1,1,6,+4,POR,313
Zach Collins,21:05,3,6,.500,1,3,.333,0,0,,3,4,7,0,0,0,1,3,7,-1,POR,313
Nik Stauskas,19:23,5,9,.556,5,8,.625,3,3,1.000,0,1,1,2,0,0,3,1,18,-17,POR,313
Meyers Leonard,14:37,1,5,.200,1,3,.333,1,2,.500,0,2,2,1,0,0,0,1,4,-5,POR,313
Seth Curry,14:02,0,2,.000,0,1,.000,2,2,1.000,1,0,1,2,1,0,0,3,2,+2,POR,313
Jake Layman,Did Not Play,,,,,,,,,,,,,,,,,,,,POR,313
Caleb Swanigan,Did Not Play,,,,,,,,,,,,,,,,,,,,POR,313
Wade Baldwin,Did Not Play,,,,,,,,,,,,,,,,,,,,POR,313
Evan Fournier,35:40,7,13,.538,3,7,.429,0,0,,0,3,3,4,0,2,3,3,17,+3,ORL,313
Jonathan Isaac,30:11,5,9,.556,2,4,.500,4,5,.800,0,7,7,2,0,1,4,2,16,+8,ORL,313
Nikola Vučević,28:41,8,12,.667,2,2,1.000,2,2,1.000,0,8,8,7,0,2,1,6,20,-7,ORL,313
Jonathon Simmons,23:07,4,6,.667,1,3,.333,4,4,1.000,0,0,0,2,0,0,4,0,13,+1,ORL,313
D.J. Augustin,22:56,3,6,.500,2,3,.667,2,2,1.000,0,0,0,5,0,0,0,1,10,+2,ORL,313
Terrence Ross,26:08,5,16,.313,0,5,.000,0,0,,0,7,7,1,3,1,0,0,10,+3,ORL,313
Jerian Grant,25:04,2,5,.400,1,1,1.000,1,1,1.000,1,4,5,7,0,0,2,3,6,-5,ORL,313
Mohamed Bamba,19:06,3,6,.500,1,2,.500,1,1,1.000,1,2,3,0,0,2,0,2,8,+2,ORL,313
Jarell Martin,17:36,4,6,.667,2,3,.667,0,0,,1,2,3,0,0,0,0,2,10,-11,ORL,313
Wesley Iwundu,11:31,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,1,2,-11,ORL,313
Melvin Frazier,Did Not Play,,,,,,,,,,,,,,,,,,,,ORL,313
Isaiah Briscoe,Did Not Play,,,,,,,,,,,,,,,,,,,,ORL,313
Khem Birch,Did Not Play,,,,,,,,,,,,,,,,,,,,ORL,313
Tobias Harris,34:36,7,15,.467,3,6,.500,1,2,.500,0,10,10,3,0,0,4,0,18,+24,LAC,314
Danilo Gallinari,33:09,7,10,.700,4,4,1.000,10,12,.833,1,9,10,4,1,2,1,1,28,+27,LAC,314
Shai Gilgeous-Alexander,28:55,5,11,.455,2,2,1.000,1,2,.500,3,4,7,6,1,1,4,0,13,+24,LAC,314
Avery Bradley,28:46,0,7,.000,0,2,.000,0,0,,0,2,2,0,0,2,1,3,0,+26,LAC,314
Boban Marjanović,19:26,3,6,.500,0,0,,6,6,1.000,8,4,12,1,0,0,2,2,12,+21,LAC,314
Montrezl Harrell,28:34,9,14,.643,0,0,,0,3,.000,4,2,6,3,1,2,1,3,18,-5,LAC,314
Lou Williams,22:14,6,14,.429,2,3,.667,6,7,.857,2,2,4,3,2,0,4,1,20,-14,LAC,314
Patrick Beverley,17:53,1,6,.167,0,4,.000,0,0,,0,1,1,0,1,0,2,5,2,-8,LAC,314
Mike Scott,14:20,1,2,.500,0,0,,0,0,,0,2,2,0,0,0,0,0,2,-11,LAC,314
Sindarius Thornwell,12:07,1,1,1.000,0,0,,0,0,,0,2,2,1,0,0,2,2,2,-4,LAC,314
Marcin Gortat,Did Not Dress,,,,,,,,,,,,,,,,,,,,LAC,314
Tyrone Wallace,Did Not Play,,,,,,,,,,,,,,,,,,,,LAC,314
Miloš Teodosić,Did Not Play,,,,,,,,,,,,,,,,,,,,LAC,314
Trevor Ariza,39:17,3,12,.250,1,6,.167,1,2,.500,3,4,7,4,2,0,2,2,8,-17,PHO,314
Devin Booker,35:06,9,21,.429,1,6,.167,4,4,1.000,0,4,4,4,1,0,3,3,23,-20,PHO,314
T.J. Warren,33:54,6,14,.429,3,6,.500,0,1,.000,0,1,1,2,2,1,2,1,15,-17,PHO,314
Deandre Ayton,30:26,1,4,.250,0,0,,2,2,1.000,2,7,9,0,2,3,2,5,4,-16,PHO,314
Mikal Bridges,15:27,1,3,.333,0,0,,0,0,,0,0,0,0,1,0,1,2,2,-13,PHO,314
Elie Okobo,31:52,8,12,.667,3,5,.600,0,0,,0,2,2,4,3,0,3,3,19,-5,PHO,314
Josh Jackson,19:56,6,10,.600,0,1,.000,3,3,1.000,2,5,7,1,2,0,1,5,15,+1,PHO,314
Richaun Holmes,17:34,4,6,.667,0,0,,2,3,.667,0,4,4,1,4,2,0,2,10,0,PHO,314
Jamal Crawford,16:28,1,7,.143,0,2,.000,1,3,.333,0,0,0,4,0,0,2,1,3,+7,PHO,314
Dragan Bender,Did Not Play,,,,,,,,,,,,,,,,,,,,PHO,314
Ryan Anderson,Did Not Play,,,,,,,,,,,,,,,,,,,,PHO,314
Troy Daniels,Did Not Play,,,,,,,,,,,,,,,,,,,,PHO,314
Kawhi Leonard,44:06,14,24,.583,3,6,.500,6,6,1.000,2,6,8,3,1,1,1,4,37,+3,TOR,315
Pascal Siakam,42:29,8,10,.800,3,4,.750,7,8,.875,0,2,2,1,0,1,1,3,26,+7,TOR,315
Kyle Lowry,40:47,4,14,.286,2,7,.286,0,0,,0,8,8,12,3,0,1,1,10,+8,TOR,315
Danny Green,38:31,5,10,.500,3,6,.500,0,0,,3,2,5,3,1,2,0,4,13,+16,TOR,315
Serge Ibaka,36:51,8,13,.615,1,3,.333,3,4,.750,1,3,4,1,0,1,3,4,20,+16,TOR,315
OG Anunoby,16:09,2,7,.286,1,6,.167,0,0,,1,2,3,0,0,0,3,0,5,-9,TOR,315
Jonas Valančiūnas,15:46,4,5,.800,0,0,,4,4,1.000,0,4,4,0,0,1,1,2,12,-13,TOR,315
Fred VanVleet,14:52,0,3,.000,0,3,.000,0,0,,0,1,1,3,0,0,2,2,0,-13,TOR,315
Delon Wright,12:03,2,3,.667,2,2,1.000,2,2,1.000,0,0,0,2,0,0,0,2,8,+1,TOR,315
C.J. Miles,3:26,0,1,.000,0,1,.000,0,0,,0,2,2,0,0,0,2,1,0,-1,TOR,315
Lorenzo Brown,Did Not Play,,,,,,,,,,,,,,,,,,,,TOR,315
Malachi Richardson,Did Not Play,,,,,,,,,,,,,,,,,,,,TOR,315
Greg Monroe,Did Not Play,,,,,,,,,,,,,,,,,,,,TOR,315
Klay Thompson,43:50,9,20,.450,3,9,.333,2,2,1.000,0,3,3,3,0,1,4,3,23,-15,GSW,315
Kevin Durant,42:56,18,31,.581,4,7,.571,11,12,.917,3,8,11,6,0,0,1,4,51,-5,GSW,315
Andre Iguodala,36:18,3,7,.429,0,3,.000,0,0,,2,2,4,5,1,2,3,2,6,-13,GSW,315
Quinn Cook,21:19,4,9,.444,0,2,.000,0,0,,0,0,0,1,1,0,1,2,8,-9,GSW,315
Damian Jones,10:47,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,2,2,-20,GSW,315
Jonas Jerebko,32:34,8,13,.615,3,5,.600,1,1,1.000,3,6,9,3,1,1,3,5,20,+12,GSW,315
Kevon Looney,26:18,3,7,.429,0,1,.000,1,2,.500,6,4,10,2,0,0,0,3,7,+18,GSW,315
Damion Lee,18:07,3,7,.429,1,3,.333,0,0,,0,3,3,0,2,0,1,0,7,+8,GSW,315
Shaun Livingston,16:39,1,5,.200,0,0,,2,3,.667,0,2,2,7,1,1,0,0,4,+10,GSW,315
Jordan Bell,15:52,0,3,.000,0,0,,0,0,,3,1,4,0,0,0,0,1,0,-1,GSW,315
Jacob Evans,0:20,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,GSW,315
LeBron James,38:09,15,27,.556,2,7,.286,6,10,.600,1,8,9,7,2,0,4,2,38,+19,LAL,316
Lonzo Ball,33:40,1,6,.167,0,3,.000,0,0,,4,4,8,4,0,2,4,4,2,+9,LAL,316
Kyle Kuzma,33:01,4,9,.444,1,5,.200,2,3,.667,0,9,9,2,0,0,1,3,11,+8,LAL,316
Brandon Ingram,31:14,6,15,.400,0,2,.000,2,5,.400,0,1,1,3,1,3,1,2,14,-12,LAL,316
JaVale McGee,22:07,3,6,.500,0,0,,0,0,,4,4,8,3,0,4,4,2,6,-8,LAL,316
Tyson Chandler,25:31,0,3,.000,0,0,,3,4,.750,1,8,9,2,0,2,1,4,3,+18,LAL,316
Josh Hart,25:05,6,7,.857,1,2,.500,0,1,.000,1,0,1,2,3,0,1,2,13,+8,LAL,316
Kentavious Caldwell-Pope,17:47,4,7,.571,3,5,.600,0,0,,0,2,2,1,0,0,0,0,11,+2,LAL,316
Michael Beasley,8:52,3,4,.750,0,0,,0,0,,0,2,2,1,1,0,2,4,6,-9,LAL,316
Lance Stephenson,4:34,0,2,.000,0,0,,0,0,,0,1,1,0,1,0,0,0,0,+5,LAL,316
Moritz Wagner,Did Not Play,,,,,,,,,,,,,,,,,,,,LAL,316
Sviatoslav Mykhailiuk,Did Not Play,,,,,,,,,,,,,,,,,,,,LAL,316
Ivica Zubac,Did Not Play,,,,,,,,,,,,,,,,,,,,LAL,316
Bojan Bogdanović,38:09,4,11,.364,2,5,.400,4,5,.800,1,2,3,2,0,0,2,3,14,-19,IND,316
Thaddeus Young,32:39,5,13,.385,0,1,.000,1,2,.500,3,2,5,1,5,0,2,2,11,-4,IND,316
Myles Turner,29:58,3,9,.333,0,0,,0,0,,2,4,6,1,0,1,2,4,6,-12,IND,316
Darren Collison,26:39,3,12,.250,1,4,.250,2,2,1.000,0,3,3,4,4,0,0,1,9,-12,IND,316
Tyreke Evans,24:40,2,10,.200,2,4,.500,3,4,.750,1,3,4,5,3,0,6,4,9,-8,IND,316
Domantas Sabonis,29:07,6,13,.462,1,1,1.000,7,8,.875,3,12,15,3,0,1,2,3,20,+3,IND,316
Cory Joseph,27:07,4,8,.500,1,2,.500,1,2,.500,0,6,6,6,1,1,2,2,10,-3,IND,316
Doug McDermott,18:25,3,5,.600,2,3,.667,2,2,1.000,0,2,2,0,0,1,0,3,10,+10,IND,316
Aaron Holiday,13:16,2,5,.400,1,3,.333,2,2,1.000,0,0,0,1,1,0,1,0,7,+5,IND,316
Kyle O'Quinn,Did Not Play,,,,,,,,,,,,,,,,,,,,IND,316
T.J. Leaf,Did Not Play,,,,,,,,,,,,,,,,,,,,IND,316
Ike Anigbogu,Did Not Play,,,,,,,,,,,,,,,,,,,,IND,316
Edmond Sumner,Did Not Play,,,,,,,,,,,,,,,,,,,,IND,316
De'Aaron Fox,31:30,6,13,.462,1,2,.500,4,4,1.000,0,3,3,9,2,1,2,3,17,-23,SAC,317
Willie Cauley-Stein,30:28,8,13,.615,0,0,,1,4,.250,2,8,10,1,1,0,3,4,17,-13,SAC,317
Buddy Hield,29:52,4,13,.308,0,7,.000,2,2,1.000,2,4,6,2,0,0,2,1,10,-6,SAC,317
Iman Shumpert,21:58,1,3,.333,0,2,.000,2,2,1.000,1,1,2,0,0,1,0,3,4,-8,SAC,317
Nemanja Bjelica,19:16,4,5,.800,1,1,1.000,2,2,1.000,3,2,5,1,0,0,2,4,11,-4,SAC,317
Bogdan Bogdanović,35:20,8,20,.400,3,6,.500,7,8,.875,2,2,4,6,0,0,1,4,26,+1,SAC,317
Marvin Bagley,27:22,8,15,.533,0,1,.000,2,2,1.000,5,5,10,2,1,0,0,2,18,-8,SAC,317
Troy Williams,22:52,2,6,.333,0,2,.000,2,2,1.000,0,2,2,0,0,0,1,3,6,-1,SAC,317
Justin Jackson,11:39,3,4,.750,2,3,.667,0,0,,0,4,4,1,0,0,0,1,8,-3,SAC,317
Harry Giles,6:53,2,4,.500,0,0,,0,0,,1,1,2,3,0,0,0,0,4,+4,SAC,317
Frank Mason,1:38,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+1,SAC,317
Yogi Ferrell,1:12,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0,SAC,317
Ben McLemore,Did Not Play,,,,,,,,,,,,,,,,,,,,SAC,317
Danilo Gallinari,33:22,7,15,.467,2,6,.333,0,0,,1,3,4,2,3,0,0,1,16,+20,LAC,317
Tobias Harris,32:47,11,17,.647,3,5,.600,3,3,1.000,1,5,6,4,0,0,0,3,28,+24,LAC,317
Shai Gilgeous-Alexander,32:28,6,9,.667,1,1,1.000,4,5,.800,1,4,5,4,2,2,0,3,17,+20,LAC,317
Avery Bradley,31:40,6,10,.600,4,7,.571,0,0,,1,2,3,6,0,1,3,4,16,+26,LAC,317
Marcin Gortat,18:03,4,5,.800,0,0,,1,1,1.000,0,5,5,1,0,1,1,3,9,+21,LAC,317
Montrezl Harrell,26:30,8,10,.800,0,0,,8,12,.667,3,3,6,1,0,1,0,3,24,-1,LAC,317
Lou Williams,19:07,3,10,.300,1,2,.500,3,3,1.000,1,1,2,2,0,0,2,0,10,-18,LAC,317
Patrick Beverley,15:53,2,3,.667,0,1,.000,2,4,.500,0,1,1,0,0,0,1,1,6,-13,LAC,317
Mike Scott,15:13,2,8,.250,1,5,.200,0,0,,0,6,6,1,0,0,1,0,5,-12,LAC,317
Sindarius Thornwell,8:39,1,2,.500,0,0,,0,0,,0,0,0,1,1,0,1,1,2,-2,LAC,317
Miloš Teodosić,5:57,0,1,.000,0,1,.000,0,0,,0,0,0,3,1,0,0,2,0,-5,LAC,317
Tyrone Wallace,0:21,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,LAC,317
Boban Marjanović,Did Not Play,,,,,,,,,,,,,,,,,,,,LAC,317
Marcus Smart,29:15,5,7,.714,2,4,.500,0,0,,1,2,3,7,3,1,0,1,12,+33,BOS,318
Kyrie Irving,27:05,11,15,.733,5,7,.714,2,4,.500,2,2,4,4,0,0,2,2,29,+26,BOS,318
Marcus Morris,26:04,4,9,.444,2,4,.500,5,5,1.000,0,4,4,1,0,0,1,3,15,+24,BOS,318
Aron Baynes,22:48,4,7,.571,0,1,.000,2,2,1.000,2,7,9,3,0,0,2,4,10,+28,BOS,318
Jayson Tatum,20:26,5,12,.417,1,3,.333,2,2,1.000,1,3,4,0,1,0,0,3,13,+12,BOS,318
Gordon Hayward,23:53,6,9,.667,1,3,.333,1,1,1.000,1,3,4,4,0,0,2,3,14,+16,BOS,318
Terry Rozier,20:38,4,8,.500,1,1,1.000,1,2,.500,0,3,3,3,0,0,3,3,10,-3,BOS,318
Daniel Theis,17:22,1,3,.333,1,2,.500,0,0,,1,2,3,4,0,1,0,3,3,+2,BOS,318
Guerschon Yabusele,15:08,2,7,.286,1,3,.333,0,0,,1,3,4,0,0,0,0,2,5,+1,BOS,318
Semi Ojeleye,14:38,2,4,.500,1,1,1.000,0,0,,0,2,2,0,0,0,0,0,5,+11,BOS,318
Brad Wanamaker,9:06,1,3,.333,1,1,1.000,0,0,,0,1,1,4,0,0,0,0,3,+4,BOS,318
Robert Williams,7:50,1,3,.333,0,0,,0,0,,1,1,2,0,0,2,0,2,2,+3,BOS,318
PJ Dozier,5:47,3,5,.600,1,1,1.000,0,0,,2,2,4,0,0,0,0,1,7,+8,BOS,318
Cedi Osman,34:29,2,8,.250,1,6,.167,2,2,1.000,0,2,2,0,1,0,0,2,7,-39,CLE,318
Collin Sexton,33:07,6,18,.333,0,1,.000,3,3,1.000,0,4,4,4,0,0,3,4,15,-32,CLE,318
Larry Nance,31:06,2,3,.667,2,2,1.000,1,2,.500,1,4,5,1,0,0,1,1,7,-23,CLE,318
Tristan Thompson,28:02,4,7,.571,0,0,,5,8,.625,6,6,12,4,0,1,1,1,13,-26,CLE,318
Rodney Hood,21:35,3,6,.500,1,2,.500,3,3,1.000,0,1,1,2,1,0,4,3,10,-30,CLE,318
Alec Burks,26:25,4,11,.364,0,4,.000,7,8,.875,1,5,6,4,2,0,0,0,15,-3,CLE,318
Jordan Clarkson,21:44,5,14,.357,3,5,.600,3,4,.750,0,1,1,0,0,0,1,1,16,-6,CLE,318
Ante Žižić,19:58,2,5,.400,0,0,,1,2,.500,1,1,2,0,0,0,1,2,5,-7,CLE,318
Andrew Harrison,16:29,2,4,.500,0,1,.000,3,3,1.000,0,2,2,3,1,0,1,6,7,+5,CLE,318
Channing Frye,7:05,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,1,1,0,-4,CLE,318
George Hill,Did Not Play,,,,,,,,,,,,,,,,,,,,CLE,318
Jeremy Lamb,38:04,10,18,.556,2,3,.667,2,3,.667,1,4,5,1,2,1,1,4,24,-4,CHO,319
Kemba Walker,36:46,9,17,.529,1,6,.167,2,5,.400,0,7,7,4,1,0,3,2,21,-17,CHO,319
Marvin Williams,32:39,5,13,.385,3,8,.375,2,2,1.000,2,9,11,2,1,0,1,1,15,+1,CHO,319
Nicolas Batum,31:00,3,5,.600,0,0,,0,0,,0,3,3,0,1,1,0,2,6,-9,CHO,319
Cody Zeller,7:06,0,2,.000,0,0,,0,0,,1,1,2,0,0,1,1,1,0,-6,CHO,319
Tony Parker,32:31,9,17,.529,0,2,.000,2,3,.667,0,1,1,9,1,0,1,1,20,+2,CHO,319
Michael Kidd-Gilchrist,23:48,5,6,.833,1,1,1.000,0,0,,0,2,2,0,0,0,0,3,11,-7,CHO,319
Miles Bridges,15:54,5,9,.556,2,4,.500,0,0,,2,2,4,2,1,0,0,1,12,+7,CHO,319
Frank Kaminsky,15:37,0,4,.000,0,2,.000,0,0,,1,2,3,1,1,0,0,0,0,-9,CHO,319
Malik Monk,5:44,1,4,.250,0,2,.000,0,0,,0,0,0,0,0,0,1,2,2,-1,CHO,319
Devonte' Graham,0:51,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+3,CHO,319
Willy Hernangómez,Did Not Play,,,,,,,,,,,,,,,,,,,,CHO,319
Dwayne Bacon,Did Not Play,,,,,,,,,,,,,,,,,,,,CHO,319
Rudy Gobert,38:16,8,12,.667,0,0,,4,6,.667,2,15,17,2,0,4,2,5,20,+11,UTA,319
Donovan Mitchell,33:58,12,22,.545,2,7,.286,4,5,.800,1,5,6,6,1,0,3,0,30,+6,UTA,319
Ricky Rubio,33:10,5,11,.455,2,6,.333,1,2,.500,0,4,4,6,1,0,2,3,13,+13,UTA,319
Joe Ingles,24:12,2,7,.286,2,6,.333,0,0,,0,1,1,4,3,0,1,3,6,+12,UTA,319
Derrick Favors,19:06,2,3,.667,0,0,,2,3,.667,2,4,6,2,0,0,0,0,6,+1,UTA,319
Jae Crowder,33:10,8,13,.615,6,10,.600,2,2,1.000,1,1,2,7,0,0,2,1,24,+7,UTA,319
Royce O'Neale,24:59,1,5,.200,1,4,.250,0,0,,0,3,3,1,0,0,0,0,3,-8,UTA,319
Kyle Korver,21:34,5,7,.714,4,6,.667,0,0,,0,2,2,1,0,1,1,0,14,+3,UTA,319
Raul Neto,8:32,1,1,1.000,1,1,1.000,0,0,,0,0,0,3,0,0,2,1,3,-2,UTA,319
Thabo Sefolosha,3:03,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-3,UTA,319
Ekpe Udoh,Did Not Play,,,,,,,,,,,,,,,,,,,,UTA,319
Dante Exum,Did Not Play,,,,,,,,,,,,,,,,,,,,UTA,319
Grayson Allen,Did Not Play,,,,,,,,,,,,,,,,,,,,UTA,319
